22691336888	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35931021430	32	50	60	64	65	6	131	26	52	4	12	83	43	11	7	25	-17	-9	-22	-16	-31	-3	-48	-9	-20	-3	0	-7	-10	-8	-16	-20
38264099521	31	75	74	186	107	23	254	99	124	9	13	210	78	15	23	22	-25	-21	-22	-25	-52	-11	-84	-14	-31	-17	-6	-39	-13	-23	-30	-22
38934192513	30	60	32	281	54	8	264	80	66	2	163	118	169	8	3	17	-6	-6	-13	-15	-4	-1	-40	-5	-19	-6	-12	-12	-6	-16	-2	-12
38989506835	73	91	103	311	67	10	285	109	173	5	24	37	66	22	17	32	-39	-14	-40	-31	-28	-2	-123	-30	-46	-9	-15	-17	-14	-60	-29	-52
38989764995	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
39007182906	7	9	5	27	5	0	23	14	17	0	17	12	23	2	1	4	-1	-3	0	-2	-1	0	-7	-3	-3	0	0	-4	0	-1	0	-5
39190300331	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0
39273746061	0	1	2	2	0	0	1	0	2	0	2	5	0	2	0	0	-2	-1	0	0	0	-2	-2	-1	-1	0	-1	0	-3	0	-1	0
40023466994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40235089041	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
40553284277	0	0	1	2	0	1	4	1	2	0	0	1	2	1	0	0	0	0	0	-1	-2	0	-2	0	-3	0	0	-1	0	0	0	0
40933347627	0	0	0	0	0	0	1	1	0   	0	0	2	0	0	0	0	0	0	-1	0	0	0	-2	0	-1	0	0	0	0	0	0	0
41151717202	0	2	3	5	0	0	8	4	4	0	1	3	0	0	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	-2	-1	-1	-1
41190477945	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0
41201502861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41265336706	2	7	6	10	3	1	8	3	9	0	2	5	2	0	0	1	-1	0	-3	-3	-4	0	-7	0	-7	-1	-4	-2	-2	-3	-2	0
41268170199	4	9	18	29	12	0	39	7	27	6	6	37	14	1	3	3	-3	-1	-2	-6	-6	0	-14	-1	-19	-2	-4	-3	-2	-1	-5	-7
41269464215	15	42	47	94	32	8	125	16	70	3	11	95	22	12	4	20	-25	-8	-15	-14	-17	-4	-39	-8	-28	-13	-6	-10	-9	-14	-7	-21
41707093932	1	8	3	15	2	0	7	2	8	0	0	5	1	2	0	1	-2	0	-2	-4	-3	0	-2	-1	-2	0	0	-1	0	0	0	0
41744439071	0	2	3	4	0	1	9	1	4	0	4	6	3	1	0	0	-1	-1	0	-2	0	0	-5	-2	-1	0	0	0	0	-1	-1	-1
41792849206	0	3	3	2	1	1	5	2	3	0	2	0	0	0	1	1	0	0	-3	-1	-1	-1	-7	-2	-2	0	-1	0	0	-1	0	0
41836156152	16	50	14	158	70	7	213	40	44	4	51	90	94	10	0	27	-15	-6	-6	-6	-15	-3	-34	-4	-6	-3	-1	-5	-3	-5	-10	-11
41854846996	7	12	11	41	4	3	50	8	18	4	3	47	20	12	4	11	-4	-4	-10	-9	-4	-1	-33	-9	-8	-2	-6	-9	-6	-24	-9	-31
41881682461	0	1	0	1	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0
41883983578	0	5	4	12	2	4	13	7	5	0	4	9	5	1	0	0	-1	0	-4	-1	-2	-1	-8	0	-6	0	-2	-3	-4	-2	-2	0
42378407518	8	20	6	30	11	2	70	9	11	2	6	22	20	0	1	2	-1	-3	-1	0	-3	0	-13	-3	-3	-1	0	-5	0	-4	0	-1
42419762644	5	8	3	3	2	0	13	5	6	0	2	5	2	0	0	0	-1	-1	-1	-2	-1	0	-3	-1	-1	-1	0	-1	0	-1	-1	-1
